,video_name_8,video_gk_8, frame_count_8,video_name_16,video_gk_16, frame_count_16
335,HavatHabaron_D20210825_Pn2_SSummer_N00002_CtUrban_H080_LcSunlight_Ds10000_LtNone_LfPlateaus_VrScrubs_StNatural_LdFrontLight_B00_V02_Js00_P00_T30_MWIR_unknown-8bit,7191,1693,HavatHabaron_D20210825_Pn2_SSummer_N00002_CtUrban_H080_LcSunlight_Ds10000_LtNone_LfPlateaus_VrScrubs_StNatural_LdFrontLight_B00_V02_Js00_P00_T30_flir,2582,1662
336,EinYahav_Sbnearplant_D20211109_Pn2_SSummer_N00062_CtUninhabited_H015_LcFullDaylight_Ds02000_LtNone_LfPlateaus_VrScrubs_StStaged_LdTopLight_P09_V00_Mc00_B00_Js00_Dr00_T30_TsTrainVald_Set000_MWIR_unknown-8bit,6609,1695,EinYahav_Sbnearplant_D20211109_Pn2_SSummer_N00062_CtUninhabited_H015_LcFullDaylight_Ds02000_LtNone_LfPlateaus_VrScrubs_StStaged_LdTopLight_P09_V00_Mc00_B00_Js00_Dr00_T30_TsTrainVald_Set000_flir,2299,1668
337,EinYahav_Sbsmallhill_D20211109_Pn2_SSummer_N00100_CtUninhabited_H015_LcQuarterMoon_Ds00500_LtNone_LfPlateaus_VrDesert_StStaged_LdTopLight_P09_V00_Mc00_B00_Js00_Dr00_T25_TsTrainVald_Set000_MWIR_unknown-8bit,6664,1713,EinYahav_Sbsmallhill_D20211109_Pn2_SSummer_N00100_CtUninhabited_H015_LcQuarterMoon_Ds00500_LtNone_LfPlateaus_VrDesert_StStaged_LdTopLight_P09_V00_Mc00_B00_Js00_Dr00_T25_TsTrainVald_Set000_flir,2338,1697
338,AshdodWestHotel_SbStagedSea_D20220215_Pn0_SWinter_N00008_CtUrban_H030_LcSunlight_Ds00700_LtWavelets_LfSea_VrNone_StNatural_LdTopLight_P00_V00_Mc00_B01_Js01_Dr00_T20_TsTrack_Set000_MWIR_unknown-8bit,6211,1715,AshdodWestHotel_SbStagedSea_D20220215_Pn0_SWinter_N00008_CtUrban_H030_LcSunlight_Ds00700_LtWavelets_LfSea_VrNone_StNatural_LdTopLight_P00_V00_Mc00_B01_Js01_Dr00_T20_TsTrack_Set000,2061,1774
339,RitzCarltonHerzliya_D20210708_Pn2_SSummer_N00028_CtUrban_H030_LcSunlight_Ds01500_LtNone_LfPlateaus_VrNone_StNatural_LdTopLight_B00_V05_Js00_P00_T30_MWIR_unknown-8bit,7117,1715,RitzCarltonHerzliya_D20210708_Pn2_SSummer_N00028_CtUrban_H030_LcSunlight_Ds01500_LtNone_LfPlateaus_VrNone_StNatural_LdTopLight_B00_V05_Js00_P00_T30_flir,2787,1696
340,AshdodWestHotel_SbStagedSea_D20220215_Pn0_SWinter_N00022_CtUrban_H030_LcSunlight_Ds01500_LtWavelets_LfSea_VrNone_StMix_LdTopLight_P00_V00_Mc00_B01_Js01_Dr00_T20_TsNegative_Set000_MWIR_unknown-8bit,6220,1727,AshdodWestHotel_SbStagedSea_D20220215_Pn0_SWinter_N00022_CtUrban_H030_LcSunlight_Ds01500_LtWavelets_LfSea_VrNone_StMix_LdTopLight_P00_V00_Mc00_B01_Js01_Dr00_T20_TsNegative_Set000,2066,1790
341,EinYahav_Sbpalmfield_D20211108_Pn2_SSummer_N00018_CtUninhabited_H010_LcSunlight_Ds02500_LtNone_LfPlateaus_VrScrubs_StStaged_LdTopLight_P00_V01_Mc02_B00_Js00_Dr00_T30_TsTrainVald_Set000_MWIR_unknown-8bit,6555,1728,EinYahav_Sbpalmfield_D20211108_Pn2_SSummer_N00018_CtUninhabited_H010_LcSunlight_Ds02500_LtNone_LfPlateaus_VrScrubs_StStaged_LdTopLight_P00_V01_Mc02_B00_Js00_Dr00_T30_TsTrainVald_Set000_flir,2250,1681
342,EinYahav_Sbbigtree_D20211108_Pn2_SSummer_N00074_CtUninhabited_H010_LcQuarterMoon_Ds02500_LtNone_LfPlateaus_VrScrubs_StStaged_LdTopLight_P00_V01_Mc02_B00_Js00_Dr00_T25_TsTrack_Set000_MWIR_unknown-8bit,6479,1733,EinYahav_Sbbigtree_D20211108_Pn2_SSummer_N00074_CtUninhabited_H010_LcQuarterMoon_Ds02500_LtNone_LfPlateaus_VrScrubs_StStaged_LdTopLight_P00_V01_Mc02_B00_Js00_Dr00_T25_TsTrack_Set000_flir,2202,1704
343,Harel_D20211011_134606_SSummer_N00029_CtUninhabited_H020_LcFullDaylight_Ds00700_LtNone_LfHills_VrGrassland_StStaged_LdFrontLight_B00_V01_Js02_P00_T26_MWIR_unknown-8bit,6823,1736,Harel_D20211011_134606_SSummer_N00029_CtUninhabited_H020_LcFullDaylight_Ds00700_LtNone_LfHills_VrGrassland_StStaged_LdFrontLight_B00_V01_Js02_P00_T26_flir,2397,1852
344,EinYahav_Sbmainroad_D20211108_Pn2_SSummer_N00052_CtUninhabited_H010_LcTwilight_Ds00800_LtNone_LfPlateaus_VrScrubs_StStaged_LdSideLight_P00_V01_Mc02_B00_Js00_Dr00_T25_TsTrainVald_Set000_MWIR_unknown-8bit,6540,1737,EinYahav_Sbmainroad_D20211108_Pn2_SSummer_N00052_CtUninhabited_H010_LcTwilight_Ds00800_LtNone_LfPlateaus_VrScrubs_StStaged_LdSideLight_P00_V01_Mc02_B00_Js00_Dr00_T25_TsTrainVald_Set000_flir,2240,1704
